Place,CA Places Key,INTPTLAT,INTPTLON,GEOID (from CA Places Key),County,County label,Jurisdiction Type,Retail: Storefront,Retail: Non-Storefront,Distributor,Manufacturer,Cultivation,Testing,Limit Explanations,Notes,Updated,Are all CCA activites prohibited?,Is all retail prohibited?,CCA Prohibited by County,Unincorporated Population,City Population
Palm Springs,Palm Springs,33.8007326,-116.5367547,655254,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,47
Alameda,Alameda,37.7419107,-122.2599139,600562,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Nursery Only,,2022-01-22,No,No,,,78
Bellflower,Bellflower,33.8878214,-118.1272504,604982,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,77
Lemon Grove,Lemon Grove,32.7330714,-117.0344138,641124,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Prohibited,,"Testing, Micro: Silent",2022-01-22,No,No,,,26
Hesperia,Hesperia,34.3970383,-117.3151976,633434,San Bernardino,San Bernardino County,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,94
Bishop,Bishop,37.3663813,-118.3958082,606798,Inyo,Inyo County,City,Limited,Limited,Prohibited,Prohibited,Prohibited,Prohibited,Retail (all): Limit 2 licensees,,2022-01-22,No,No,,,3
San Leandro,San Leandro,37.7033683,-122.1630360,668084,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,Micro: Silent,2022-01-22,No,No,,,87
Watsonville,Watsonville,36.9196077,-121.7702498,683668,Santa Cruz,Santa Cruz County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,53
Atascadero,Atascadero,35.4858195,-120.6896669,603064,San Luis Obispo,San Luis Obispo County,City,Prohibited,Allowed,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,,,31
Mendota,Mendota,36.7559904,-120.3782366,646828,Fresno,Fresno County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,12
Ceres,Ceres,37.5991087,-120.9684320,612524,Stanislaus,Stanislaus County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,48
Redding,Redding,40.5674321,-122.3648270,659920,Shasta,Shasta County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,91
King City,King City,36.2162833,-121.1319616,638520,Monterey,Monterey County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,14
San Rafael,San Rafael,37.9810032,-122.5069297,668364,Marin,Marin County,City,Prohibited,Allowed,Allowed,Limited,Prohibited,Allowed,Manufacturing: Type N only,,2022-01-22,No,No,,,60
Huntington Park,Huntington Park,33.9792475,-118.2174380,636056,Los Angeles,Los Angeles County,City,Limited-Medical Only,Limited,Prohibited,Allowed,Allowed,Prohibited,Retail (Non-storefront): delivery from storefronts only,"Distribution, Testing: Silent",2022-01-22,No,No,,,59
Unincorporated Trinity County,,,,,Trinity,Trinity County,County,Prohibited,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,13,
Gustine,Gustine,37.2545144,-120.9948698,631568,Merced,Merced County,City,Allowed,Allowed,Allowed,Allowed,Limited,Prohibited,Cultivation: Indoor only,Testing: Silent,2022-01-22,No,No,,,5
American Canyon,American Canyon,38.1790331,-122.2596023,601640,Napa,Napa County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,20
Weed,Weed,41.4120866,-122.3809655,683850,Siskiyou,Siskiyou County,City,Allowed,Allowed,Prohibited,Prohibited,Limited,Prohibited,Cultivation: Indoor only,"Distribution, Manufacturing, Testing, Micro: Silent",2022-01-22,No,No,,,2
Emeryville,Emeryville,37.8399065,-122.2989635,622594,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,,2022-01-22,No,No,,,11
Vista,Vista,33.1895407,-117.2386078,682996,San Diego,San Diego County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,Micro: Silent,2022-01-22,No,No,,,103
South Lake Tahoe,South Lake Tahoe,38.9392299,-119.9822156,673108,El Dorado,El Dorado County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,21
Oceanside,Oceanside,33.2245045,-117.3062398,653322,San Diego,San Diego County,City,Prohibited,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,177
Vallejo,Vallejo,38.1079211,-122.2639644,681666,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,119
Pacifica,Pacifica,37.6066267,-122.4772114,654806,San Mateo,San Mateo County,City,Allowed,Limited,Allowed,Allowed,Prohibited,Allowed,Retail (Non-Storefront): Delivery from storefront only,Micro: Silent,2022-01-22,No,No,,,38
San Luis Obispo,San Luis Obispo,35.2639540,-120.6611260,668154,San Luis Obispo,San Luis Obispo County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,46
Fairfax,Fairfax,37.9883780,-122.5950965,623168,Marin,Marin County,City,Limited-Medical Only,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,7
Dixon,Dixon,38.4475120,-121.8242225,619402,Solano,Solano County,City,Allowed,Allowed,Prohibited,Allowed,Limited,Allowed,Cultivation: Indoor only,Distribution: Silent,2022-01-22,No,No,,,19
El Centro,El Centro,32.7873249,-115.5580064,621782,Imperial,Imperial County,City,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,46
Sonoma,Sonoma,38.2903313,-122.4598310,672646,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Limited,Prohibited,Allowed,Manufacturing: Type N or P only,,2022-01-22,No,No,,,11
La Quinta,La Quinta,33.6417665,-116.2739430,640354,Riverside,Riverside County,City,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,41
Wildomar,Wildomar,33.6172779,-117.2582476,685446,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,36
Willows,Willows,39.5147524,-122.1991778,685684,Glenn,Glenn County,City,Allowed,Limited,Prohibited,Prohibited,Prohibited,Prohibited,Retail (Non-storefront): Delivery from storefront only,,2022-01-22,No,No,,,6
Long Beach,Long Beach,33.8091789,-118.1552902,643000,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,478
Commerce,Commerce,33.9945234,-118.1499518,614974,Los Angeles,Los Angeles County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,13
Lakeport,Lakeport,39.0382153,-122.9226970,639710,Lake,Lake County,City,Prohibited,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,5
Unincorporated Lassen County,,,,,Lassen,Lassen County,County,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,No,No,30,
Unincorporated Calaveras County,,,,,Calaveras,Calaveras County,County,Allowed,Prohibited,Allowed,Prohibited,Allowed,Prohibited,,Microbusiness: Co-location allowed,2022-01-22,No,No,No,45,
La Mesa,La Mesa,32.7694947,-117.0219232,640004,San Diego,San Diego County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,61
Salinas,Salinas,36.6901821,-121.6337145,664224,Monterey,Monterey County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,161
Ventura (San Buenaventura),San Buenaventura (Ventura),34.2677796,-119.2542062,665042,Ventura,Ventura County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,Microbusiness: No cultivation,,2022-01-22,No,No,,,111
Lemoore,Lemoore,36.2959537,-119.7982556,641152,Kings,Kings County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,25
Unincorporated Tulare County,,,,,Tulare,Tulare County,County,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Limited-Medical Only,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,No,No,No,475,
Santa Rosa,Santa Rosa,38.4468158,-122.7061361,670098,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,178
Truckee,Truckee,39.3505492,-120.1939411,680588,Nevada,Nevada County,City,Prohibited,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,16
Del Rey Oaks,Del Rey Oaks,36.5825013,-121.8297974,618688,Monterey,Monterey County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,Micro: Silent,2022-01-22,No,No,,,1
Willits,Willits,39.4050065,-123.3488889,685600,Mendocino,Mendocino County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,5
Solvang,Solvang,34.5937578,-120.1396803,672576,Santa Barbara,Santa Barbara County,City,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,Limited-Medical Only,,,2022-01-22,No,No,,,5
Oakland,Oakland,37.7698464,-122.2256900,653000,Alameda,Alameda County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,428
Port Hueneme,Port Hueneme,34.1621431,-119.2041771,658296,Ventura,Ventura County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,23
Rio Vista,Rio Vista,38.1751526,-121.7085860,660984,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,9
Oakdale,Oakdale,37.7616661,-120.8464343,652694,Stanislaus,Stanislaus County,City,Allowed,Prohibited,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,23
Unincorporated Riverside County,,,,,Riverside,Riverside County,County,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,No,2,
Marysville,Marysville,39.1515353,-121.5833738,646170,Yuba,Yuba County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,11
Desert Hot Springs,Desert Hot Springs,33.9575914,-116.5422837,618996,Riverside,Riverside County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,29
Unincorporated El Dorado County,,,,,El Dorado,El Dorado County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,No,188,
Tulare,Tulare,36.1993663,-119.3419206,680644,Tulare,Tulare County,City,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,65
Suisun City,Suisun City,38.2483339,-122.0100659,675630,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,29
Unincorporated Imperial County,,,,,Imperial,Imperial County,County,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,No,190,
Marina,Marina,36.6805918,-121.7900735,645778,Monterey,Monterey County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,22
Mountain View,Mountain View,37.3996860,-122.0792687,649670,Santa Clara,Santa Clara County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,81
California City,California City,35.1465903,-117.8693463,609780,Kern,Kern County,City,Limited,Allowed,Allowed,Allowed,Allowed,Allowed,Retail (storefront): Limit 2 licensees,,2022-01-22,No,No,,,14
Mount Shasta,Mount Shasta,41.3208797,-122.3154809,649852,Siskiyou,Siskiyou County,City,Allowed,Limited-Medical Only,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,3
Pomona,Pomona,34.0584937,-117.7610909,658072,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,155
Santa Monica,Santa Monica,34.0234128,-118.4816663,670000,Los Angeles,Los Angeles County,City,Limited-Medical Only,Prohibited,Prohibited,Limited-Medical Only,Prohibited,Prohibited,,Retail (non-storefront): Silent on medical,2022-01-22,No,No,,,92
Ojai,Ojai,34.4482528,-119.2465775,653476,Ventura,Ventura County,City,Allowed,Allowed,Prohibited,Allowed,Prohibited,Allowed,,Distribution: Silent,2022-01-22,No,No,,,7
Unincorporated Marin County,,,,,Marin,Marin County,County,Prohibited,Limited-Medical Only,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,No,263,
Sebastopol,Sebastopol,38.3999838,-122.8277275,670770,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,7
Davis,Davis,38.5561470,-121.7377925,618100,Yolo,Yolo County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,,,2022-01-22,No,No,,,68
Vacaville,Vacaville,38.3586211,-121.9686015,681554,Solano,Solano County,City,Allowed,Allowed,Allowed,Allowed,Prohibited,Allowed,Microbusiness: No cultivation,,2022-01-22,No,No,,,98
Pasadena,Pasadena,34.1605920,-118.1395930,656000,Los Angeles,Los Angeles County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,No,,,144
Cloverdale,Cloverdale,38.7959624,-123.0153700,614190,Sonoma,Sonoma County,City,Allowed,Allowed,Allowed,Allowed,Allowed,Allowed,,,2022-01-22,No,No,,,9
Mammoth Lakes,Mammoth Lakes,37.6088480,-118.9712613,645358,Mono,Mono County,City,Allowed,Prohibited,Allowed,Limited,Limited,Allowed,"Manufacturing: Non-volatile only
Cultivation: Indoor only",,2022-01-22,No,No,,,8
Isleton,Isleton,38.1612520,-121.6049577,636882,Sacramento,Sacramento County,City,Allowed,Allowed,Allowed,Allowed,Limited,Allowed,Cultivation: Indoor only,,2022-01-22,No,No,,,837
West Hollywood,West Hollywood,34.0882673,-118.3718297,684410,Los Angeles,Los Angeles County,City,Allowed,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,,"Distribution, Manufacturing, Cultivation, Testing, Micro: Silent",2022-01-22,No,No,,,36
El Cerrito,El Cerrito,37.9196297,-122.3025159,621796,Contra Costa,Contra Costa County,City,Allowed,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,No,No,,,24
Mill Valley,Mill Valley,37.9081217,-122.5423253,647710,Marin,Marin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows medical delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,14
Ridgecrest,Ridgecrest,35.6285421,-117.6639923,660704,Kern,Kern County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,28
Monrovia,Monrovia,34.1639973,-117.9846118,648648,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,Yes,,,38
Albany,Albany,37.8906499,-122.3181164,600674,Alameda,Alameda County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,"Distribution, Testing, Micro: Silent",2022-01-22,Yes,Yes,,,19
Carmel-by-the-Sea,Carmel-by-the-Sea,36.5529458,-121.9218892,611250,Monterey,Monterey County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,3
Laguna Woods,Laguna Woods,33.6129246,-117.7314430,639259,Orange,Orange County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,16
East Palo Alto,East Palo Alto,37.4677798,-122.1325502,620956,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,30
Glendora,Glendora,34.1449667,-117.8476672,630014,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,52
Glendale,Glendale,34.1813929,-118.2458301,630000,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,205
Selma,Selma,36.5743083,-119.6155826,670882,Fresno,Fresno County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,24
Laguna Beach,Laguna Beach,33.5428910,-117.7624901,639178,Orange,Orange County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,"Manufacturing, Testing, Micro: Silent",2022-01-22,Yes,Yes,,,23
San Clemente,San Clemente,33.4491445,-117.6131194,665084,Orange,Orange County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,65
Duarte,Duarte,34.1609114,-117.9505275,619990,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,22
Yucca Valley,Yucca Valley,34.1230893,-116.4214814,687056,San Bernardino,San Bernardino County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,21
Simi Valley,Simi Valley,34.2668875,-118.7484575,672016,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,128
Artesia,Artesia,33.8675926,-118.0806353,602896,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,16
Tustin,Tustin,33.7309083,-117.8106005,680854,Orange,Orange County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,82
Baldwin Park,Baldwin Park,34.0828245,-117.9712858,603666,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Allowed,Allowed,Limited,Prohibited,Cultivation: Indoor only,,2022-01-22,No,Yes,,,76
Unincorporated Sierra County,,,,,Sierra,Sierra County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,Yes,Yes,Yes,3,
Santa Paula,Santa Paula,34.3523140,-119.0688457,670042,Ventura,Ventura County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Allowed,,,2022-01-22,No,Yes,,,31
Los Altos,Los Altos,37.3685375,-122.0966288,643280,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,31
Hermosa Beach,Hermosa Beach,33.8652682,-118.3962966,633364,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,19
Palos Verdes Estates,Palos Verdes Estates,33.7865188,-118.3949114,655380,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,13
Loomis,Loomis,38.8093681,-121.1954675,643140,Placer,Placer County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,6
Corte Madera,Corte Madera,37.9318458,-122.5077378,616462,Marin,Marin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,10
Morgan Hill,Morgan Hill,37.1323963,-121.6409989,649278,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Testing: Silent,2022-01-22,Yes,Yes,,,44
Unincorporated Nevada County,,,,,Nevada,Nevada County,County,Prohibited,Prohibited,Limited,Prohibited,Limited-Medical Only,Prohibited,"Distribution: Self-distribution by cultivators only
",,2022-01-22,No,Yes,No,99,
Foster City,Foster City,37.5648200,-122.2507815,625338,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Allowed,,Allows delivery from outside jurisdiction,2022-01-22,No,Yes,,,33
Sand City,Sand City,36.6219032,-121.8475249,665112,Monterey,Monterey County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,394
Unincorporated Sacramento County,,,,,Sacramento,Sacramento County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,Yes,1,
Elk Grove,Elk Grove,38.4146207,-121.3849614,622020,Sacramento,Sacramento County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,"Distribution, Manufacturing, Cultivation, Testing, Micro: Silent",2022-01-22,Yes,Yes,,,172
Rocklin,Rocklin,38.8080407,-121.2503648,662364,Placer,Placer County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,66
Coronado,Coronado,32.6572021,-117.1561371,616378,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,21
Huron,Huron,36.2039785,-120.0961776,636084,Fresno,Fresno County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,7
Tehama,Tehama,40.0217761,-122.1269008,678106,Tehama,Tehama County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,430
Whittier,Whittier,33.9668274,-118.0201222,685292,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,87
Campbell,Campbell,37.2802323,-121.9543517,610345,Santa Clara,Santa Clara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows medical delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,42
Orinda,Orinda,37.8816136,-122.1685852,654232,Contra Costa,Contra Costa County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,19
El Cajon,El Cajon,32.8016713,-116.9603972,621712,San Diego,San Diego County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,105
Winters,Winters,38.5332708,-121.9754730,686034,Yolo,Yolo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,7
Danville,Danville,37.8121407,-121.9698219,617988,Contra Costa,Contra Costa County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,44
Hercules,Hercules,38.0214271,-122.2889290,633308,Contra Costa,Contra Costa County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,26
Inglewood,Inglewood,33.9560678,-118.3442743,636546,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,113
Santa Maria,Santa Maria,34.9332137,-120.4438151,669196,Santa Barbara,Santa Barbara County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows medical delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,108
Newman,Newman,37.3156543,-121.0211254,651140,Stanislaus,Stanislaus County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,11
Lomita,Lomita,33.7933091,-118.3174455,642468,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,20
Woodside,Woodside,37.4221552,-122.2590839,686440,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,5
La Palma,La Palma,33.8506159,-118.0395647,640256,Orange,Orange County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,15
Williams,Williams,39.1486777,-122.1372495,685586,Colusa,Colusa County,City,Prohibited,Prohibited,Allowed,Allowed,Allowed,Allowed,,Micro: Silent,2022-01-22,No,Yes,,,5
Unincorporated Santa Clara County,,,,,Santa Clara,Santa Clara County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,Yes,1,
Delano,Delano,35.7631833,-119.2635598,618394,Kern,Kern County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,53
Orland,Orland,39.7460220,-122.1850001,654274,Glenn,Glenn County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Testing: Silent,2022-01-22,Yes,Yes,,,7
Torrance,Torrance,33.8349663,-118.3414307,680000,Los Angeles,Los Angeles County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,149
Atherton,Atherton,37.4570721,-122.2010583,603092,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Silent for all CCA activities,2022-01-22,Yes,Yes,,,7
San Bruno,San Bruno,37.6253897,-122.4313027,665028,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,46
Trinidad,Trinidad,41.0577077,-124.1432550,680448,Humboldt,Humboldt County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,340
Unincorporated San Benito County,,,,,San Benito,San Benito County,County,Prohibited,Prohibited,Allowed,Allowed,Limited,Allowed,"Cultivation: Indoor only
Microbusiness: No retail",Allows delivery from outside jurisdiction but requires a county permit,2022-01-22,No,Yes,No,57,
Unincorporated Shasta County,,,,,Shasta,Shasta County,County,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,Yes,178,
Ross,Ross,37.9638151,-122.5615688,662980,Marin,Marin County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows medical delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,2
Menlo Park,Menlo Park,37.4797313,-122.1480548,646870,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,Allows delivery from outside jurisdiction,2022-01-22,Yes,Yes,,,35
Belmont,Belmont,37.5143975,-122.2944751,605108,San Mateo,San Mateo County,City,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,Prohibited,,,2022-01-22,Yes,Yes,,,27
